_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
1,167571957,17227970,17,2017-11-25T23:47:00,Zone 5,N,,5,SEXUAL ASSAULT,3124.1 Sexual Assault,,,,,
2,167574916,17228078,21,2017-11-26T02:21:00,"700 Block Brookline Blvd Pittsburgh, PA 15226",Y,Brookline,6,DUI - GENERAL IMPAIRMENT,3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3802(a)(1) DUI - General Impairment / 1501 Drivers Required to be Licensed.,1918,,,0.0,0.0
3,167583521,17228218,99,2017-11-25T22:30:00,"Penn Ave & N Fairmount St Pittsburgh, PA 15206",N,Friendship,5,FOUND PROPERTY,9489 Found Property,807,9,2,-79.9324891998778,40.4641244906788
4,167596065,17228469,3,2017-11-26T19:48:00,"Summerlea St & Elmer St Pittsburgh, PA 15232",Y,Shadyside,4,ROBBERY,3701 Robbery.,705,8,2,-79.9308766503808,40.453697449615
5,167619051,17218951,18,2017-11-12T00:32:00,"300 Block Copperfield Ave Pittsburgh, PA 15210",Y,Carrick,3,STOLEN PROPERTY - OTHER,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 4304(a)(1) Endangering Welfare of Children. / 4914 False Identification to Law Enforcement Authorities,2901,4,4,-79.9913367566053,40.3951211484834
6,167042397,17221132,0,2017-11-15T10:00:00,"7400 Block Frankstown Ave Pittsburgh, PA 15208",N,Homewood North,5,99,9094 Recovered Stolen Vehicle (OUTSIDE CITY),1302,9,2,-79.8918662038556,40.4563274299717
7,167344787,17225028,99,2017-11-20T21:35:00,"800 Block E Warrington Ave Pittsburgh, PA 15210",N,Allentown,3,FOUND PROPERTY,9489 Found Property,1803,3,4,-79.9935775641661,40.4215318771896
8,167350230,17225098,18,2017-11-21T01:12:00,"2100 Block Park Hill Dr Pittsburgh, PA 15221",Y,East Hills,5,STOLEN PROPERTY - OTHER,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance,1306,9,2,-79.8740214028157,40.4529526639559
9,167352043,17225092,11,2017-11-21T01:00:00,"300 Block North Shore Dr Pittsburgh, PA 15212",N,North Shore,1,THEFT BY DECEPTION,3922 Theft by Deception. / 3926(a)(4) Theft of services; ACQUISITION OF SERVICES - refusal to pay or offer to pay for a service (hotels and restaurants),2205,1,1,-80.0096402728326,40.4549486918507
10,167388387,17225004,0,2017-11-20T20:55:00,"600 Block Cedar Ave Pittsburgh, PA 15212",Y,East Allegheny,1,99,601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,2304,1,1,-80.0011300193643,40.4529022801258
11,167388192,17225342,99,2017-11-21T13:03:00,"1100 Block Lincoln Ave Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,AIDED CASE,9497 Aided Case,1203,9,2,-79.9000433057585,40.4642356452474
24,167654798,17229142,99,2017-11-27T21:50:00,"3800 Block Bigelow Blvd Pittsburgh, PA 15213",N,North Oakland,4,MENTAL 201/302,9498 302 (Mental),507,6,3,-79.9551109763865,40.4568762378331
12,167389195,17225385,14,2017-11-21T14:08:00,"500 Block William Penn Pl Pittsburgh, PA 15219",N,Central Business District,2,CRIM MISCHIEF,3304 Criminal Mischief. / 3743 Accidents Involving Damage to Attended Veh. or Property,201,6,6,-79.9971460293346,40.4404422029403
13,-2761035054,17225386,29,2017-11-21T14:12:00,"6200 Block E. Liberty Blvd Pittsburgh, PA 15206",N,Larimer,5,RUNAWAYS - JUVENILE,029 Missing Juvenile,1208,9,2,-79.9174964617292,40.4634859599384
14,167393765,17220216,18,2017-11-13T22:10:00,"Brushton Ave & Monticello St Pittsburgh, PA 15221",Y,Homewood North,5,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 3323 Stop Signs and Yield Signs.,1301,9,2,-79.8883744433399,40.4579094135465
15,167398210,17225486,4,2017-11-16T16:05:00,"300 Block Orchard Pl Pittsburgh, PA 15210",N,Knoxville,3,AGG-ASSAULT,2702 Aggravated Assault.,3001,3,4,-79.9934248808645,40.4178893104126
16,167406978,17225502,6,2017-11-21T17:15:00,"200 Block Riverview Ave Pittsburgh, PA 15202",N,Outside City,OSC,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3925 Receiving Stolen Property.,5599,1,1,-80.0180778664903,40.4827881642642
17,167562898,17227722,6,2017-11-25T15:20:00,"100 Block Boundary St Pittsburgh, PA 15232",N,South Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,409,5,3,-79.9490508191323,40.4285458831291
18,167573058,17228054,0,2017-11-26T01:53:00,"500 Block N Aiken Ave Pittsburgh, PA 15224",N,Garfield,5,99,2701(b)(1) Simple Assault - Fight or Scuffle Entered by Mutual Consent,1016,8,2,-79.9386041383271,40.4556432981117
19,167590620,17228354,0,2017-11-26T16:20:00,"Itin St & Concord St Pittsburgh, PA 15212",N,East Allegheny,1,99,607.03 Discharging Firearm or Airgun,2304,1,1,-79.995477472945,40.4581011671364
20,167597498,17228553,10,2017-11-26T22:52:00,"200 Block Elmore St Pittsburgh, PA 15219",Y,Middle Hill,2,SIMPLE ASSAULT,2701 Simple Assault.,501,6,3,-79.9753460868664,40.4418146708969
